job title,Publish Date,Closing Date,Level,Year of Exp,Hiring,Salary,Sex,Age,Term,Function/Category,Industry,Qualification,Language,Location,Job Requirement
Driver អ្នកបើកបរ,Publish Date：Aug-22-2022,Closing Date：Sep-21-2022,Middle,1,3,Negotiable,~,Age Unlimited,Full Time,Driver/Security,Education,Bachelor Degree,English-- Good,Phnom Penh,"• មានអាយុចាប់ពី ២៥ ឆ្នាំឡើងទៅ
• បទពិសោធន៍ការងារពាក់ព័ន្ធនិងវិស័យឡានក្រុងចាប់ពី១ឆ្នាំឡើងទៅ
• អាចប្រើប្រាស់ភាសារខ្មែរបានល្អទាំងសរសេ និងអាន។
• អាចបត់បែនតាមពេលវេលា ម៉ោងធ្វើការរបស់ក្រុមហ៊ុន ការងារមិនមានដែនកំណត់
• មានការព្យាយាម ភាពអត់ធ្មត់ក្នុងការងារ និងការលះបង់ខ្ពស់
• មានភាពរួសរាយរាក់ទាក់ និងទំនាក់ទំនងល្អ
• មានភាពស្មោះត្រង់ និងការទទួលខុសត្រូវខ្ពស់ក្នុងការងារ
• មានការអធ្យាស្រ័យខ្ពស់ និងគោរពជំរួមដំណើ និងតាមដងផ្លូវ
• មានប័ណ្ណបើកបរឃ៤ដែលមានសពុលភាព។
**អត្ថប្រយោជន៍ការងារ (Benefits) ៖
• ប្រាក់បៀវត្សប្រកួតប្រជែងជាមួយទីផ្សារ
• បណ្ណធានារ៉ាប់រងសុខភាព ប.ស.ស. និងធានារ៉ាប់រងលើគ្រោះថ្នាក់បុគ្គល ២៤ម៉ោង នៅទូទាំងពិភពលោក
• ច្បាប់ឈប់សម្រាកលំហែមាតុភាព បិតុភាព និងច្បាប់អាពាហ៍ពិពាហ៍
• ច្បាប់ឈប់សម្រាកប្រចាំឆ្នាំ និងច្បាប់ឈឺ
• ច្បាប់ឈប់សម្រាកបុណ្យជាតិដោយមានប្រាក់ឈ្នួល យោងតាមសេចក្តីប្រកាសរបស់ក្រសួងការងារ និងបណ្តុះបណ្តាលវិជ្ជាជីវៈ
• ឱកាសអភិវឌ្ឍន៍អាជីពការងាររបស់ខ្លួន
• វគ្គបណ្ដុះបណ្ដាលល្អៗសម្រាប់ការអភិវឌ្ឍន៍អាជីពការងារ
• អាហារូបករណ៍ដល់បុគ្គលិក និងសមាជិកគ្រួសាររបស់បុគ្គលិក
• ការដំឡើងប្រាក់បៀវត្សប្រចាំឆ្នាំ ដោយផ្អែកលើបទពិសោធន៍ការងារ ..."
ចាងហ្វាងក្រោមមត្តេយ្យ មត្តេយ្យ​ និងបឋមសិក្សា (តាកែវ),Publish Date：Sep-06-2022,Closing Date：Oct-06-2022,Top,5,1,Negotiable,~,Age Unlimited,Full Time,Education/Training,Education,Master Degree,English-- Excellent,Takeo,"- មានសញ្ញាបត្រគរុកោសល្យមត្តេយ្យ ឬបឋមសិក្សា។- មានបរិញ្ញាបត្រ ឬបរិញ្ញាប្រជាន់ខ្ពស់ លើមុខជំនាញអប់រំ ឬសញ្ញាបត្រដែលមានតម្លៃស្មើ។ - មានសញ្ញាបត្រគរុកោសល្យ ឬសញ្ញាបត្រដែលមានតម្លៃស្មើ។- មានចំណេះដឹងលើភាសាបរទេសជាពិសេសលើផ្នែកភាសាអង់គ្លេស។- មានសមត្ថភាពគ្រប់គ្រងការងារបច្ចេកទេសគរុកោសល្យ ការងាររដ្ឋបាល។- មានបទពិសោធគ្រប់គ្រងលើផ្នែកអប់រំយ៉ាងតិច៥ឆ្នាំ។- មានសមត្ថភាពប្រឹក្សាយោបល់ និងដោះស្រាយបញ្ហាសិស្ស បញ្ហាគ្រូ។- មានចំណេះដឹងផ្នែកចិត្តវិទ្យាគរុកោសល្យ។- មានចំណេះដឹងខាងផ្នែកព័ត៌មានវិទ្យាប្រើប្រាស់បានលើកម្មវិធី៖ Ms. Words, Ms. Excels, Power Pion, Internet, and Email.- មានសមត្ថភាពក្នុងការធ្វើការងារជាក្រុម។- មានសមត្ថភាពក្នុងការដឹកនាំក្រុម៖ ធ្វើផែនការ អនុវត្ត តាមដាន វាយតម្លៃ។- មានសមត្ថភាពវិភាគស្ថានភាពសិស្ស ៖ ការសិក្សា សុខភាព គ្រួសារ និងសង្គម។- មានមនសិការជាអ្នកអប់រំ។- មានភាពសច្ចៈ ទៀងត្រង់ និងមានទឹកចិត្តស្រលាញ់កុមារ។- តស៊ូ អត់ធ្មត់ សម្របសម្រួល ផ្តួចផ្តើមនិង ច្នៃប្រឌិត។- គោរពម៉ោងការងារបានទៀងទាត់។- មានស្វ័យយ័តភាពនៅក្នុងការងារ។- មានសមត្ថភាពធ្វើការនៅក្រោមសំពាធ។- គោរពទៅតាមទស្សនវិស័យរបស់ក្រុមហ៊ុន។- គោរព និងប្រតិបត្តិតាមបទបញ្ជាផ្ទៃក្នុងរបស់ស..."
សន្តិសុខ​ (ព្រះសីហនុ),Publish Date：Sep-07-2022,Closing Date：Oct-07-2022,Entry Level,~,1,Negotiable,~,Age Unlimited,Full Time,Driver/Security,Education,No limitations,~,Preah Sihanouk,• មានអាយុចាប់ពី 18 ដល់ 50 ឆ្នាំ។• ចេះអាននិងសរសេរអក្សរខ្មែរបានខ្លះ។• មានឬគ្មានបទពិសោធន៍អាចដាក់ពាក្យបាន។• មានភាពរួសរាយរាក់ទាក់ និងមានសុជីវធម៌ល្អ។• មានកាយសម្បទាសមរម្យ និងរឹងមាំ។• មានភាពស្មោះត្រង់ អត់ធ្មត់ ឧស្សាហ៍ព្យាយាម និង យកចិត្តទុកដាក់លើការងារ។• មានអត្តចរិតស្លូតបូត និងរួសរាយរាក់ទាក់។
Resident Architect,Publish Date：Aug-31-2022,Closing Date：Sep-29-2022,Middle,3,3,Negotiable,Male/Female,25 ~ 35,Full Time,Management,Property Development/Management,Bachelor Degree,English-- Good,Phnom Penh,"-Male / Female
-Bachelor or Master’s Degree in Architecture, Civil or Structural Engineering.
-Minimum 3-year experience in architecture (preferably those with experience in architectural, structural steel works, and high-rise buildings, and have gone through at least a complete project cycle from initiation to completion).
-Good communication skills in English (Chinese is a plus)
-Good computer skills in Microsoft Office, AutoCAD, Sketch Up, V-Ray, 3D Max and Photoshop
-Well organized, efficient, hard work and ability to lead others
-Be able to organize the project and construction specifications.
-Good ability with the process to ensure compliance of project quality standards. Building design concepts, practices, procedures, final documents, specifications, materials and construction practices
-Excellent design skills and attention to detail
-Good interpersonal, negotiation, communication and problem-solving skills 
-Diligent, creative, initiative, passionate 
-Be able to identify, analyze and solve tech..."
Accountant,Publish Date：Aug-31-2022,Closing Date：Sep-29-2022,Middle,2,1,Negotiable,Male/Female,23 ~ 30,Full Time,Accounting,Property Development/Management,Bachelor Degree,English-- Good,Phnom Penh,"-Male/Female
-Bachelor's Degree in Accounting, Banking or related field.
-Minimum 1-2 year relevant working experience in related duties is preferred.
-Must be honest and professional in work ethics
-Good computer knowledge of Microsoft Office (Word, Excel, and Outlook) and the Internet.
-Familiar with QuickBooks and Accounting Software.
-Good communication in English for both written and spoken
-Good organizational skills and accuracy attention to detail
-Commitment to cultivating a good working relationship with other staff members
-A positive attitude and willingness to learn new things
-Strong interpersonal and communication skills
-Ability to work flexibly, independently and under time pressure.

Working Days and Hours
- Monday to Friday: 8:00am to 5:30pm (Break Lunch time: 12:00pm to 1:30pm)
- Saturday: 8:00am to 12:00pm

Salary and Benefit
- Competitive salary
- NSSF and 24hr insurance
- Maternity, paternity, and marriage leave
- Annual leave and sick leave
- Public Holidays based on Prakas of Minis..."
Resident Architect,Publish Date：Aug-18-2022,Closing Date：Sep-16-2022,Middle,3,3,Negotiable,Male/Female,25 ~ 35,Full Time,Architecture/Engineering,Property Development/Management,Bachelor Degree,English-- Good,Phnom Penh,"-Male / Female
-Bachelor or Master’s Degree in Architecture, Civil or Structural Engineering.
-Minimum 3-year experience in architecture (preferably those with experience in architectural, structural steel works, and high-rise buildings, and have gone through at least a complete project cycle from initiation to completion).
-Good communication skills in English (Chinese is a plus)
-Good computer skills in Microsoft Office, AutoCAD, Sketch Up, V-Ray, 3D Max and Photoshop
-Well organized, efficient, hard work and ability to lead others
-Be able to organize the project and construction specifications.
-Good ability with the process to ensure compliance of project quality standards. Building design concepts, practices, procedures, final documents, specifications, materials and construction practices
-Excellent design skills and attention to detail
-Good interpersonal, negotiation, communication and problem-solving skills 
-Diligent, creative, initiative, passionate 
-Be able to identify, analyze and solve tech..."
Payable Accountant,Publish Date：Aug-31-2022,Closing Date：Sep-29-2022,Middle,3,1,Negotiable,Male/Female,25 ~ 35,Full Time,Accounting,Property Development/Management,Bachelor Degree,English-- Good,Phnom Penh,"-Male/Female
-Bachelor's Degree in Accounting, Banking or related field.
-Minimum 2-3year relevant working experience in related duties is preferred.
-Must be honest and professional in work ethics
-Good computer knowledge of Microsoft Office (Word, Excel, and Outlook) and the Internet.
-Familiar with QuickBooks and Accounting Software.
-Good communication in English for both written and spoken
-Good organizational skills and accuracy attention to detail
-Commitment to cultivating a good working relationship with other staff members
-A positive attitude and willingness to learn new things
-Strong interpersonal and communication skills
-Ability to work flexibly, independently and under time pressure.

Working Days and Hours
- Monday to Friday: 8:00am to 5:30pm (Break Lunch time: 12:00pm to 1:30pm)
- Saturday: 8:00am to 12:00pm

Salary and Benefit
- Competitive salary
- NSSF and 24hr insurance
- Maternity, paternity, and marriage leave
- Annual leave and sick leave
- Public Holidays based on Prakas of Minist..."
**ADMIN EXECUTIVE (Steung Mean Chey)**,Publish Date：Sep-01-2022,Closing Date：Oct-01-2022,Middle,3,2,Negotiable,Female,20,Full Time,Administration,Energy/Power/Water/Oil & Gas,Bachelor Degree,Khmer-- Mother Tongue English-- Fair,Phnom Penh,"• Bachelor degree of in Business, Accounting, Management, or equivalent• Minimum 3 years experiences in administrative job• Good knowledge of MS office• Organized, must be willing to learn, flexible, Good interpersonal, communication skills• Good command in both written and spoken English.Able to speak Chinese, Thai, Vietnamese will added advantage• Ability to understand Business concept• self-motivated, reliable, independent, professional and focus• Flexible and good team player"
IT Officer (Food Industry),Publish Date：Aug-22-2022,Closing Date：Sep-21-2022,Middle,1,1,Negotiable,Male,18 ~ 30,Full Time,IT,Automotive - Vehicle,Bachelor Degree,English-- Fair,Phnom Penh,"- Graduated BSc in IT/MIS.- Minimum one-year working experience in IT/Network field.- Good skills in installation and maintenance network, computer and related equipment.- Good knowledge of WAN network, domain user management is an asset.- Good understand of Networking operation.- Good speaking and writing English.- Good integrity, positive attitude, helpful, high commitment, competence and motivation."
Training Manager (Food Industry),Publish Date：Aug-15-2022,Closing Date：Sep-14-2022,Senior,4,1,Negotiable,~,Age Unlimited,Full Time,Human Resource,Automotive - Vehicle,Bachelor Degree,~,Phnom Penh,Required Skills/Abilities:• Excellent verbal and written communication skills with strong graphic design ability (Chinese is a plus)• Thorough understanding of training processes.• Ability to moderate large groups.• Extremely organized and detail-oriented.• Proficient with Microsoft Office Suite or related software.Education and Experience:• Bachelors degree/Master's degree in Communications or related area required.• At least four years of experience in training with one year of supervisory experience required.
Store Supervisor (Food Industry),Publish Date：Sep-03-2022,Closing Date：Oct-03-2022,Middle,2,1,Negotiable,Female,18 ~ 35,Full Time,Catering/Restaurant,Automotive - Vehicle,No limitations,~,Phnom Penh,- Previous customer service experience in a Food & Beverage industry- Knowledge of foreign languages is beneficial- Must be available to work flexible hours- Must have completed high school / secondaryschool education
Brand Manager (Food Industry) - Expat,Publish Date：Aug-30-2022,Closing Date：Sep-29-2022,Senior,3,1,Negotiable,Male/Female,18 ~ 35,Full Time,Sales,Automotive - Vehicle,Bachelor Degree,English-- Good,Phnom Penh,"Requirements
- Bachelor degree in Marketing or other relevant degrees
- 2-3years in FMCG industry or related field is an advantage
- English proficiency and Good interpersonal skills
- Excellent in using Ms. office (Word, Excel, PowerPoint)
- Be a committed, proactive, challenging, independent, honest and team-work person"
Digital Marketing Officer (Food Industry),Publish Date：Aug-12-2022,Closing Date：Sep-11-2022,Middle,2,1,Negotiable,Male/Female,20 ~ 35,Full Time,Marketing,Automotive - Vehicle,Bachelor Degree,~,Phnom Penh,"- Bachelor degree in marketing, business administration or a similar skill;- 2+ Years of Experience in Digital Marketing- Experience executing paid social media campaigns- Bachelor's degree in marketing or business- Knowledge of video and picture editing software such as Adobe/ Photoshop- Must be able to deal multiple projects at the same time- Incredible attention to detail- Full understanding of all social media platforms- Problem solving skills- Knowledge of content management systems"
Driver (អ្នកបើកបរឡានក្រុង),Publish Date：Sep-07-2022,Closing Date：Oct-07-2022,Middle,1,4,Negotiable,Male,Age Unlimited,Full Time,Travel Agent/Ticket Sales,Education,High School,~,Preah Sihanouk,• មានអាយុចាប់ពី ២៥ឆ្នាំឡើងទៅ។• មានបណ្ណបើកបរប្រភេទ ឃ២។• បទពិសោធន៍ការងារពាក់ពន្ធ័និងការងារបើកបរឡានក្រុងដឹកអ្នកដំណើរ ១ឆ្នាំឡើងទៅ។• អាចបត់បែនតាមពេលវេលា និងម៉ោងធ្វើការរបស់ក្រុមហ៊ុនបាន។• មានការព្យាយាម ភាពអត់ធ្មត់ក្នុងការងារ និងការលះបង់ខ្ពស់។• មានភាពរួសរាយរាក់ទាក់ និងទំនាក់ទំនងល្អជាមួយមិត្តរួមការងារ និងផ្នែកដែលពាក់ពន្ធ័។• មានភាពស្មោះត្រង់ និងការទទួលខុសត្រូវខ្ពស់ក្នុងការងារ។• អាចសរសេ និងអានអក្សរខ្មែរបានល្អ។
Sales and Marketing Officer (Aii),Publish Date：Sep-08-2022,Closing Date：Oct-08-2022,Middle,1,1,Negotiable,~,Age Unlimited,Full Time,Marketing,Education,Bachelor Degree,English-- Good,Phnom Penh,"- Excellent organizational skills as you will be expected to complete competition administration which requires a high level of accuracy and a keen eye for detail.- Smart appearance and professional attitude.- Strategies for effective classroom management of kids, young learners and adults- Ability to develop and adapt materials to suit the needs of learner and group needs- Commitment to professional development- Commitment to fostering a supportive and encouraging working environment.- High organizational skills with proactive planning approach.- Flexibility, adaptability and ability to cope with changing priorities.- Excellent communication and interpersonal skills.- You will need to keep yourself motivated during very busy periods and maintain a high standard of performance and conduct amongst them."
បុគ្គលិកផ្នែកអនាម័យ​ (ព្រះហីហនុ),Publish Date：Sep-07-2022,Closing Date：Oct-07-2022,~,~,1,Negotiable,~,Age Unlimited,Full Time,Driver/Security,Education,No limitations,~,Preah Sihanouk,• មានអាយុចាប់ពី 18 ដល់ 50 ឆ្នាំ។• ចេះអាននិងសរសេរអក្សរខ្មែរបានខ្លះ។• មានឬគ្មានបទពិសោធន៍អាចដាក់ពាក្យបាន។• មានភាពរួសរាយរាក់ទាក់ និងមានសុជីវធម៌ល្អ។• មានកាយសម្បទាសមរម្យ និងរឹងមាំ។• មានភាពស្មោះត្រង់ អត់ធ្មត់ ឧស្សាហ៍ព្យាយាម និង យកចិត្តទុកដាក់លើការងារ។• មានអត្តចរិតស្លូតបូត និងរួសរាយរាក់ទាក់។
Compensation and Benefits Manager,Publish Date：Aug-17-2022,Closing Date：Sep-16-2022,Middle,5,1,Negotiable,Male/Female,Age Unlimited,Full Time,Human Resource,Education,Bachelor Degree,English-- Good,Phnom Penh,"- Obtain Master Degree of Business Administration or/ and relevant field 
- A minimum of 5 years working experience related to Human Resource Management (Staff Compensation and Benefits is a plus)
- Proficiency in English language and using Ms. Office with being good at figures to check and balance
- Be friendly, flexible, honestly, hard-working, integrity and teamwork
- Good communication skills, interpersonal skills and problem solving skills
- Have Confidentiality and Reporting Skills."
Digital Marketing Officer (Aii),Publish Date：Sep-08-2022,Closing Date：Oct-08-2022,Middle,2,1,Negotiable,~,Age Unlimited,Full Time,Marketing,Education,Bachelor Degree,English-- Good,Phnom Penh,"- At least 2-plus years of communications, marketing or public relations or related experience- BS/MS degree in marketing or a related field.- Proven working experience in digital marketing.- Demonstrable experience leading and managing SEO/SEM, marketing database, email, social media and/or display advertising campaigns.- Highly creative with experience in identifying target audiences and devising digital campaigns that engage, inform and motivate.- Experience in optimizing landing pages and user funnels- Experience with A/B and multivariate experiments- Working knowledge of ad serving tools (e.g., DART, Atlas)- Experience in setting up and optimizing Google Adwords campaigns- Strong analytical skills and data-driven thinking.- Up-to-date with the latest trends and best practices in online marketing and measurement"
Alumni Manager,Publish Date：Aug-25-2022,Closing Date：Sep-24-2022,Middle,2,1,Negotiable,Male/Female,Age Unlimited,Full Time,Education/Training,Education,Bachelor Degree,English-- Good,Phnom Penh,"- មានបរិញ្ញាបត្រផ្នែកគ្រប់គ្រង ផ្នែកទីផ្សារ ផ្នែកទំនាក់ទំនង ឬសញ្ញាបត្រសមមូល- មានចំណេះដឹងលើភាសាបរទេស​ (ភាសាអង់គ្លេស...) KNOWLEDGE, SKILLS AND EXPERIENCE / ចំណេះដឹង ជំនាញ និងបទពិសោធន៍- មានចំណេះដឹងខាងផ្នែកព័ត៌មានវិទ្យាប្រើប្រាស់បានលើកម្មវិធី៖​ Ms. Words, Ms. Excels, Internet, Email- មានសមត្ថភាពប្រឹក្សាយោបល់ ដោះស្រាយបញ្ហា និងមានជំនាញទំនាក់ទំនង- ស្គាល់អំពីតម្រូវការទីផ្សារការងារ និងបរិស្ថានជុំវិញ- ឆ្លងកាត់បទពិសោធន៍លើការងារយ៉ាងតិច២ឆ្នាំ- មានលទ្ធភាព/សមត្ថភាពក្នុងការគ្រប់គ្រងលើការងារប្រតិបត្តិដោយឯករាជ្យ ម្ចាស់​ការ ទទួលខុសត្រូវខ្ពស់ និង​ទាមទារការគ្រប់គ្រងតិចតូចពីគណៈគ្រប់គ្រង។"
Marketing Manager - AIS,Publish Date：Aug-22-2022,Closing Date：Sep-21-2022,~,5,1,Negotiable,Male/Female,Age Unlimited,Full Time,Marketing,Education,Bachelor Degree,English-- Excellent,Phnom Penh,"Skills, abilities and competencies- Excellent organizational skills as you will be expected to complete competition administration which requires a high level of accuracy and a keen eye for detail.- Smart appearance and professional attitude.- Strategies for effective classroom management of kids, young learners and adults- Ability to develop and adapt materials to suit the needs of learner and group needs- Commitment to professional development- Commitment to student-centered learning- Commitment to fostering a supportive and encouraging working environment in which the teacher manages cultural differences with confidence.- High organizational skills with proactive planning approach.- Flexibility, adaptability and ability to cope with changing priorities.- Excellent communication and interpersonal skills.- You will need to keep your staff motivated during very busy periods and maintain a high standard of performance and conduct amongst them.- As a member of the center management team you will need t..."
Manager of Intercon Bookstore,Publish Date：Sep-05-2022,Closing Date：Oct-05-2022,Top,5,1,Negotiable,Male/Female,Age Unlimited,Full Time,Management,Education,Master Degree,English-- Excellent,Phnom Penh,"- Proven business development, marketing, sales, or marketing experience.- Excellent analytical, problem-solving, and decision-making skills.- Exceptional leadership and management skills.- Effective communication and negotiation skills.- Proficient in all Microsoft Office applications.- Detail-oriented and persuasive.HOW TO APPLY Email: hr@mjqeducation.edu.khTelegram: (855) 12 797 939Tel: (855) 12 797 939, (855) 93 335 564"
Purchasing Support (Level senior),Publish Date：Aug-26-2022,Closing Date：Sep-25-2022,Senior,3,1,Negotiable,Male/Female,Age Unlimited,Full Time,Merchandising/Purchasing,General Business Services,Bachelor Degree,English-- Good,Phnom Penh,"s
 Bachelor’s degree.
 Able to worked under a foreigner boss. Command of English for business communication.
 Several years working, can use basic function of MS Office Excel.
 Interest in kohnan dealing categories (without interest it is difficult to expect sophisticated market analysis).
 Work experience at the big retail companies is greatly welcome.
 
Purchasing Management
- According to the case, need to join the negotiation with supplier.
(to support purchaser for administrative work).
 -Prepare Report for ""Product Meeting""
-Communication with Supplier : for smooth operation
-Communication with Supplier : for invoice checking (support purred)
>> especially to open account with supplier ,
purchaser need to arrange
* detailed market information
* suppliers information
This position need to not only support to arrange but also check the contents
 Sales Floor Management (need to understand the store operation, and understand how to
impact on it. Working Condition and Benefits include:
 Shift t..."
Senior Admin/Cashier,Publish Date：Aug-26-2022,Closing Date：Sep-25-2022,Entry Level,1,1,Negotiable,Male/Female,Age Unlimited,Full Time,Administration,General Business Services,Bachelor Degree,English-- Good,Phnom Penh," Bachelor’s degree
 Encourage for Computer skill (Microsoft office word, excel….)
 Experience in admin work and good communication skills
 Passion in retail business
 Honest and reliability
 Be friendly, honest, and hardworking
 Work experience at the big retail companies is greatly welcome
 Working Condition and Benefits include:
 Shift time working : *2 shift (morning: 8:00 – 5:00 pm/ evening: 2:00 pm – 11:00 pm)
 Weekly Day off : 1.5 days off per week
 Work Place : inside of Aeon Mall Sen Sok
 Bonus & Annual Salary Increment Review 1 time per year
 Meals & Transportation allowance
 Overtime Seniority Payment/Severane pay
 Annual Leave, Special Leave, Paternity Leave, Marriage Leave
 Maternity Leave
 Short term and long term Sick leave
 NSSF, etc. are following by Cambodia Labor Law.
 Others
 Local and Oversea Training
 Career Development Opportunity
How toApply: Please send a cover letter, CV and certificate to the E-mail
address pov.socheata@kohnankh.com
Contract person: Human Res..."
Senior Sale (Retail business),Publish Date：Aug-26-2022,Closing Date：Sep-25-2022,Middle,2,1,Negotiable,Male/Female,Age Unlimited,Full Time,Sales,General Business Services,Bachelor Degree,English-- Good,Phnom Penh," Bachelor’s degree
 Encourage for Computer skill (Microsoft office word, excel….).
 Good use of Selling and Communication Skills
 Being friendly, Talkative, and willing to work.
 Work experience at the big retail companies is greatly welcome
 Working Condition and Benefits include:
 Shift time working : *2 shift (morning: 8:00 – 5:00 pm/ evening: 2:00 pm – 11:00 pm)
 Weekly Day off : 1.5 days off per week
 Work Place : inside of Aeon Mall Sen Sok
 Bonus & Annual Salary Increment Review 1 time per year
 Meals & Transportation allowance
 Overtime
 Seniority Payment or Severance pay.
 Annual Leave, Special Leave, Paternity Leave, Marriage Leave
 Maternity Leave
 Short term and long term Sick leave NSSF, etc. are following by Cambodia Labor Law.
 Others
 Have a chance to get Oversea Training
 Career Development Opportunity
How toApply: Please send a cover letter, CV and certificate to the E-mail
address pov.socheata@kohnankh.com
Contract person: Human Resource Department
Phone: 095 36 46 55..."
Receptionist (350$ - 400$ Negotiable),Publish Date：Sep-07-2022,Closing Date：Oct-07-2022,Entry Level,~,3,Negotiable,Male/Female,Age Unlimited,Full Time,Cashier/Receptionist,Hotel/Hospitality,Bachelor Degree,English-- Fair,Phnom Penh,"Salary : 350$ - 400$ (Negotiable)
Location: The Commune building (near TK)
Schedule : 09:00 - 18:00 (Wednesday - Sunday) 
- Positive attitude toward job and teamwork and find problem and solution by yourself 
- Good smile
- Good hospitality 
- English: intermediate level
- Helpful and Flexible ( Shift and Job )
- Respect others
- Open-minded and willing to learn new things"
Edutainment Facilitator,Publish Date：Sep-07-2022,Closing Date：Oct-07-2022,Entry Level,~,4,Negotiable,Male/Female,Age Unlimited,Full Time,Education/Training,Hotel/Hospitality,~,English-- Good,Phnom Penh,"Salary : 1000$-1600$/Month (Fulltime)/ 10$-15$/Hour ( Part time)
Location : The Commune building (near TK)
Schedule : 09:00 - 18:00 (Wednesday - Sunday) 

- English : Native level
- Positive attitude toward job and teamwork; find problem and offer solution
- Open-minded and willing to learn new things
- Good hospitality 
- Flexible 
- Respect others
- Work experience in education sector is a plus but not a requirement"
Customer Service (350$ -400$),Publish Date：Sep-07-2022,Closing Date：Oct-07-2022,~,~,~,Negotiable,Male/Female,Age Unlimited,Full Time,Customer Service,Hotel/Hospitality,~,English-- Good,Phnom Penh,"Salary : 350$ -400$
Location : The Commune building (near TK)
Schedule : 09:00 - 18:00 (Wednesday - Sunday) 

- Positive attitude toward job and teamwork; find problem and offer solution
- Open-minded and willing to learn new things
- Good hospitality 
- Flexible 
- Respect others
- Work experience in education sector is a plus but not a requirement"
ចុងភៅទី២ ផ្នែកម្ហូបអ៊ឺរ៉ុប,Publish Date：Sep-02-2022,Closing Date：Sep-16-2022,Entry Level,~,2,Negotiable,Male/Female,Age Unlimited,Full Time,Cook/Cleaner/Maid,Food & Beverages,~,English-- Good,Phnom Penh,"•របៀបដាក់ពាក្យ
**ចំណាំ**
+សម្រាប់អ្នកដែលមានចំណាប់អារម្មណ៍ចង់ដាក់ពាក្យ អ្នកអាចផ្ញើប្រវត្តិរូបរបស់អ្នកតាមរយះ អ៊ីម៉ែល និង លេខទូរស័ព្ទខាងក្រោមដែលភ្ជាប់ជាមួយនិងរូបថត ៤×៦ ១សន្លឹក។
+លេខទូរស័ព្ទ:
*015 921 637 / 089 596 950 សម្រាប់ភាសាខ្មែរ
អ៊ីម៉ែល
skyboxsensok@gmail.com
jhc1741@gmail.com

How to Apply
**NOTE**
Interested candidate can send their CVs and cover letters with current photo 4*6 to the email
*The attached file must be less than 3MB
+Contact information
- Contact person Ms. Eang
- Phone Number:
*015 921 637 / 089 596 950 (Khmer)
-Email:
skyboxsensok@gmail.com
jhc1741@gmail.com"
"Supervisor, Process and Control",Publish Date：Sep-09-2022,Closing Date：Oct-09-2022,Middle,2,1,Negotiable,~,Age Unlimited,Full Time,Management,Trading,Bachelor Degree,English-- Good,Phnom Penh,"1. Education:
o Bachelor’s Degree in English, Business Administration or equivalent.
2. Experiences:
o Two year working experience in handling IMS document control/requirements or administration tasks.
o Experience in assisting in development of policies and standard operating procedures is a plus.
3. Skills and knowledge:
o Excellent English writing skills.
o Good presentation and organizational skills.
o Competency in using Microsoft package. Ability to operate MS Visio is a plus.
o Good inter-personnel skills with an ability to work as a team.
o Integrity.

** Contact Information
- Mrs. Chan Sokunthearoth 
- Phone number: 085 355 333 
- Email: recruitment@vital.com.kh
- Website: https://www.vital.com.kh/

** Location: 
Building No. 888K, Street 598, Sangkat Toul Sangke, Khan Russey Keo, Phnom Penh"
"Technician, Digital Media",Publish Date：Sep-09-2022,Closing Date：Oct-09-2022,Entry Level,~,1,Negotiable,~,Age Unlimited,Full Time,Media/Advertising,Trading,~,~,Phnom Penh,"1. Education: o Bachelor Degree in IT, Media and Communications, Marketing or related fields.2. Experiences: o At least 1 year of working experience in Media, Digital Marketing or FMCGo Have experienced in digital technical issues, social media management, and other online advertising. o Have a basic knowledge of IT Technical Support, and other necessary developing tools and to support digital marketing team.3. Skills and knowledge: o Good interpersonal and communication skillso Good in using social media o Good command in Khmer and Englisho Detail oriented"
Operation Manager (Agriculture business),Publish Date：Sep-09-2022,Closing Date：Oct-09-2022,~,5,1,Negotiable,Male/Female,30 ~ 50,Full Time,Operation/Production,Agriculture/Foresty/Fishing,Bachelor Degree,English-- Good,Kampong Speu,"• At least Bachelor’s degree in related field such as Management, Sales & Marketing or Finance 
• Minimum 5 years working experience in the managerial levels in the mentioned area and or related
• Honest, highly responsible and reliable
• Good computer literacy (Internet and Email, Ms. Word, Excel)
• Ability to manage multi-tasks
• Proven management skills and ability to negotiate effectively with partners 
• Knowledge of data analysis and financial assessment 
• Proficient in English speaking, report writing and presentation
• Good integrity, positive attitude, helpful, high commitment, competence and motivation"
Business Development Executive_ (Local) x 2 posts,Publish Date：Sep-09-2022,Closing Date：Oct-09-2022,Senior,3,1,Negotiable,Male/Female,Age Unlimited,Full Time,Architecture/Engineering,Agriculture/Foresty/Fishing,Bachelor Degree,English-- Good,Phnom Penh,
Sales Executive (local) x 3 post,Publish Date：Sep-09-2022,Closing Date：Oct-09-2022,Entry Level,~,3,Negotiable,Male/Female,Age Unlimited,Full Time,Sales,Architecture/Building/Construction,Associate Degree,English-- Good Chinese-Mandarin-- Fair,Phnom Penh,". Graduate bachelor preferred with Sale and Marketing qualification• Minimum 2 years work experience in sale and marketing with Real Estate• Proficiency in MS Office and accounting software• Good personality, honesty and professional • Attention to Detail, Deadline-Oriented, and confidentiality.• Professional knowledge of sale and marketing• Be professional in communication skill• Good in English Communication is a must and Chinese is Plus Advantage• Ability to handle the guest complaint in very good manner and professionally"
